True,data,model_name,MAE,R2,Accuracy
0,df,Ridge,22961386.332580376,0.49165292734330934,0.43472222222222223
1,df,Lasso,22955746.237121243,0.4916166200390498,0.43472222222222223
2,df,ElasticNet,22965013.686452612,0.4916720712419409,0.43416666666666665
3,df,XGB_HPT,5281422.056598579,0.9543634024086184,0.795
4,df,DNN,6888836.301518148,0.9313517858898317,0.04083333333333333
